CPT Code,Description of Information of CPTCode
50081,"Percutaneous nephrostolithotomy or pyelostolithotomy, with or without dilation, endoscopy, lithotripsy, stenting, or basket extraction; over 2 cm"
50100,Transection or repositioning of aberrant renal vessels (separate procedure)
50120,Pyelotomy; with exploration
50125,"Pyelotomy; with drainage, pyelostomy"
50130,"Pyelotomy; with removal of calculus (pyelolithotomy, pelviolithotomy, including coagulum pyelolithotomy)"
50135,"Pyelotomy; complicated (eg, secondary operation, congenital kidney abnormality)"
50200,"Renal biopsy; percutaneous, by trocar or needle"
50205,Renal biopsy; by surgical exposure of kidney
50220,"Nephrectomy, including partial ureterectomy, any open approach including rib resection;"
50225,"Nephrectomy, including partial ureterectomy, any open approach including rib resection; complicated because of previous surgery on same kidney"
50230,"Nephrectomy, including partial ureterectomy, any open approach including rib resection; radical, with regional lymphadenectomy and/or vena caval thrombectomy"
50234,Nephrectomy with total ureterectomy and bladder cuff; through same incision
50236,Nephrectomy with total ureterectomy and bladder cuff; through separate incision
50240,"Nephrectomy, partial"
50250,"Ablation, open, 1 or more renal mass lesion(s), cryosurgical, including intraoperative ultrasound guidance and monitoring, if performed"
50280,Excision or unroofing of cyst(s) of kidney
50290,Excision of perinephric cyst
50300,"Donor nephrectomy (including cold preservation); from cadaver donor, unilateral or bilateral"
50320,"Donor nephrectomy (including cold preservation); open, from living donor"
50323,"Backbench standard preparation of cadaver donor renal allograft prior to transplantation, including dissection and removal of perinephric fat, diaphragmatic and retroperitoneal attachments, excision of adrenal gland, and preparation of ureter(s), renal vein(s), and renal artery(s), ligating branches, as necessary"
50325,"Backbench standard preparation of living donor renal allograft (open or laparoscopic) prior to transplantation, including dissection and removal of perinephric fat and preparation of ureter(s), renal vein(s), and renal artery(s), ligating branches, as necessary"
50327,"Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation; venous anastomosis, each"
50328,"Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation; arterial anastomosis, each"
50329,"Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation; ureteral anastomosis, each"
50340,Recipient nephrectomy (separate procedure)
50341,Recipient Nephrectomy (separate Procedure)
50360,"Renal allotransplantation, implantation of graft; without recipient nephrectomy"
50365,"Renal allotransplantation, implantation of graft; with recipient nephrectomy"
50366,"Renal Homotransplantation, Implantation Of Graft"
50370,Removal of transplanted renal allograft
50380,"Renal autotransplantation, reimplantation of kidney"
50382,"Removal (via snare/capture) and replacement of internally dwelling ureteral stent via percutaneous approach, including radiological supervision and interpretation"
50384,"Removal (via snare/capture) of internally dwelling ureteral stent via percutaneous approach, including radiological supervision and interpretation"
50385,"Removal (via snare/capture) and replacement of internally dwelling ureteral stent via transurethral approach, without use of cystoscopy, including radiological supervision and interpretation"
50386,"Removal (via snare/capture) of internally dwelling ureteral stent via transurethral approach, without use of cystoscopy, including radiological supervision and interpretation"
50387,"Removal and replacement of externally accessible nephroureteral catheter (eg, external/internal stent) requiring fluoroscopic guidance, including radiological supervision and interpretation"
50389,"Removal of nephrostomy tube, requiring fluoroscopic guidance (eg, with concurrent indwelling ureteral stent)"
50390,"Aspiration and/or injection of renal cyst or pelvis by needle, percutaneous"
50391,"Instillation(s) of therapeutic agent into renal pelvis and/or ureter through established nephrostomy, pyelostomy or ureterostomy tube (eg, anticarcinogenic or antifungal agent)"
50392,"Introduction of intracatheter or catheter into renal pelvis for drainage and/or injection, percutaneous"
50393,"Introduction of ureteral catheter or stent into ureter through renal pelvis for drainage and/or injection, percutaneous"
50394,"Injection procedure for pyelography (as nephrostogram, pyelostogram, antegrade pyeloureterograms) through nephrostomy or pyelostomy tube, or indwelling ureteral catheter"
50395,"Introduction of guide into renal pelvis and/or ureter with dilation to establish nephrostomy tract, percutaneous"
50396,"Manometric studies through nephrostomy or pyelostomy tube, or indwelling ureteral catheter"
50398,Change of nephrostomy or pyelostomy tube
50400,"Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; simple"
50405,"Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; complicated (congenital kidney abnormality, secondary pyeloplasty, solitary kidney, calycoplasty)"
50430,"Injection procedure for antegrade nephrostogram and/or ureterogram, complete diagnostic procedure including imaging guidance (eg, ultrasound and fluoroscopy) and all associated radiological supervision and interpretation; new access"
50431,"Injection procedure for antegrade nephrostogram and/or ureterogram, complete diagnostic procedure including imaging guidance (eg, ultrasound and fluoroscopy) and all associated radiological supervision and interpretation; existing access"
50432,"Placement of nephrostomy catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation"
50433,"Placement of nephroureteral catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, new access"
50434,"Convert nephrostomy catheter to nephroureteral catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, via pre-existing nephrostomy tract"
50435,"Exchange nephrostomy catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation"
50436,"Dilation of existing tract, percutaneous, for an endourologic procedure including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, with postprocedure tube placement, when performed"
50437,"Dilation of existing tract, percutaneous, for an endourologic procedure including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, with postprocedure tube placement, when performed; including new access into the renal collecting system"
50500,"Nephrorrhaphy, suture of kidney wound or injury"
50520,Closure of nephrocutaneous or pyelocutaneous fistula
50525,"Closure of nephrovisceral fistula (eg, renocolic), including visceral repair; abdominal approach"
50526,"Closure of nephrovisceral fistula (eg, renocolic), including visceral repair; thoracic approach"
50540,"Symphysiotomy for horseshoe kidney with or without pyeloplasty and/or other plastic procedure, unilateral or bilateral (1 operation)"
50541,"Laparoscopy, surgical; ablation of renal cysts"
50542,"Laparoscopy, surgical; ablation of renal mass lesion(s), including intraoperative ultrasound guidance and monitoring, when performed"
50543,"Laparoscopy, surgical; partial nephrectomy"
50544,"Laparoscopy, surgical; pyeloplasty"
50545,"Laparoscopy, surgical; radical nephrectomy (includes removal of Gerota's fascia and surrounding fatty tissue, removal of regional lymph nodes, and adrenalectomy)"
50546,"Laparoscopy, surgical; nephrectomy, including partial ureterectomy"
50547,"Laparoscopy, surgical; donor nephrectomy (including cold preservation), from living donor"
50548,"Laparoscopy, surgical; nephrectomy with total ureterectomy"
50549,"Unlisted laparoscopy procedure, renal"
50551,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;"
50553,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with ureteral catheterization, with or without dilation of ureter"
50555,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy"
50557,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy"
50559,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with insertion of radioactive substance with or without biopsy and/or fulguration"
50561,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with removal of foreign body or calculus"
50562,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with resection of tumor"
50570,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;"
50572,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with ureteral catheterization, with or without dilation of ureter"
50574,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy"
50575,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with endopyelotomy (includes cystoscopy, ureteroscopy, dilation of ureter and ureteral pelvic junction, incision of ureteral pelvic junction and insertion of endopyelotomy stent)"
50576,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy"
50578,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with insertion of radioactive substance, with or without biopsy and/or fulguration"
50580,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with removal of foreign body or calculus"
50590,"Lithotripsy, extracorporeal shock wave"
50592,"Ablation, 1 or more renal tumor(s), percutaneous, unilateral, radiofrequency"
50593,"Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy"
50600,Ureterotomy with exploration or drainage (separate procedure)
50605,"Ureterotomy for insertion of indwelling stent, all types"
50606,"Endoluminal biopsy of ureter and/or renal pelvis, non-endoscopic, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)"
50610,Ureterolithotomy; upper one-third of ureter
50620,Ureterolithotomy; middle one-third of ureter
50630,Ureterolithotomy; lower one-third of ureter
50650,"Ureterectomy, with bladder cuff (separate procedure)"
50660,"Ureterectomy, total, ectopic ureter, combination abdominal, vaginal and/or perineal approach"
50684,Injection procedure for ureterography or ureteropyelography through ureterostomy or indwelling ureteral catheter
50686,Manometric studies through ureterostomy or indwelling ureteral catheter
50688,Change of ureterostomy tube or externally accessible ureteral stent via ileal conduit
50690,"Injection procedure for visualization of ileal conduit and/or ureteropyelography, exclusive of radiologic service"
50693,"Placement of ureteral stent, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy), and all associated radiological supervision and interpretation; pre-existing nephrostomy tract"
50694,"Placement of ureteral stent, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy), and all associated radiological supervision and interpretation; new access, without separate nephrostomy catheter"
50695,"Placement of ureteral stent, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy), and all associated radiological supervision and interpretation; new access, with separate nephrostomy catheter"
50700,"Ureteroplasty, plastic operation on ureter (eg, stricture)"
50705,"Ureteral embolization or occlusion, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)"
50706,"Balloon dilation, ureteral stricture, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)"
50715,"Ureterolysis, with or without repositioning of ureter for retroperitoneal fibrosis"
50716,"Ureterolysis, With Or Without Repositioning Of Ureter For"
50722,Ureterolysis for ovarian vein syndrome
50725,"Ureterolysis for retrocaval ureter, with reanastomosis of upper urinary tract or vena cava"
50727,Revision of urinary-cutaneous anastomosis (any type urostomy);
50728,Revision of urinary-cutaneous anastomosis (any type urostomy); with repair of fascial defect and hernia
50740,"Ureteropyelostomy, anastomosis of ureter and renal pelvis"
50750,"Ureterocalycostomy, anastomosis of ureter to renal calyx"
50760,Ureteroureterostomy
50770,"Transureteroureterostomy, anastomosis of ureter to contralateral ureter"
50780,Ureteroneocystostomy; anastomosis of single ureter to bladder
50781,"Ureteroneocystostomy, Anastomosis Of Ureter To Bladder,"
50782,Ureteroneocystostomy; anastomosis of duplicated ureter to bladder
50783,Ureteroneocystostomy; with extensive ureteral tailoring
50785,Ureteroneocystostomy; with vesico-psoas hitch or bladder flap
50786,"Ureteroneocystostomy, With Bladder Flap"
50800,"Ureteroenterostomy, direct anastomosis of ureter to intestine"
50801,"Ureteroenterostomy, Direct Anastomosis Of Ureter To Intestine"
50810,"Ureterosigmoidostomy, with creation of sigmoid bladder and establishment of abdominal or perineal colostomy, including intestine anastomosis"
50815,"Ureterocolon conduit, including intestine anastomosis"
50816,"Ureterocolon Conduit, Including Bowel Anastomosis"
50820,"Ureteroileal conduit (ileal bladder), including intestine anastomosis (Bricker operation)"
50821,"Ureteroileal Conduit (ileal Bladder), Including Bowel"
50825,"Continent diversion, including intestine anastomosis using any segment of small and/or large intestine (Kock pouch or Camey enterocystoplasty)"
50830,"Urinary undiversion (eg, taking down of ureteroileal conduit, ureterosigmoidostomy or ureteroenterostomy with ureteroureterostomy or ureteroneocystostomy)"
50840,"Replacement of all or part of ureter by intestine segment, including intestine anastomosis"
50841,"Replacement Of All Or Part Of Ureter By Bowel Segment, Including"
50845,Cutaneous appendico-vesicostomy
50860,"Ureterostomy, transplantation of ureter to skin"
50861,"Ureterostomy, Transplantation Of Ureter To Skin"
50900,"Ureterorrhaphy, suture of ureter (separate procedure)"
50920,Closure of ureterocutaneous fistula
50930,Closure of ureterovisceral fistula (including visceral repair)
50940,Deligation of ureter
50945,"Laparoscopy, surgical; ureterolithotomy"
50947,"Laparoscopy, surgical; ureteroneocystostomy with cystoscopy and ureteral stent placement"
50948,"Laparoscopy, surgical; ureteroneocystostomy without cystoscopy and ureteral stent placement"
50949,"Unlisted laparoscopy procedure, ureter"
50951,"Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;"
50953,"Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with ureteral catheterization, with or without dilation of ureter"
50955,"Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy"
50957,"Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy"
50959,"Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with insertion of radioactive substance, with or without biopsy and/or fulguration (not including provision of material)"
50961,"Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with removal of foreign body or calculus"
50970,"Ureteral endoscopy through ureterotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;"
50972,"Ureteral endoscopy through ureterotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with ureteral catheterization, with or without dilation of ureter"
50974,"Ureteral endoscopy through ureterotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy"
50976,"Ureteral endoscopy through ureterotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy"
50978,"Ureteral endoscopy through ureterotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with insertion of radioactive substance, with or without biopsy and/or fulguration (not including provision of material)"
50980,"Ureteral endoscopy through ureterotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with removal of foreign body or calculus"
51000,Aspiration of bladder by needle
51005,Aspiration of bladder; by trocar or intracatheter
51010,Aspiration of bladder; with insertion of suprapubic catheter
51020,Cystotomy or cystostomy; with fulguration and/or insertion of radioactive material
51030,Cystotomy or cystostomy; with cryosurgical destruction of intravesical lesion
51040,"Cystostomy, cystotomy with drainage"
51045,"Cystotomy, with insertion of ureteral catheter or stent (separate procedure)"
51050,"Cystolithotomy, cystotomy with removal of calculus, without vesical neck resection"
51060,Transvesical ureterolithotomy
51065,"Cystotomy, with calculus basket extraction and/or ultrasonic or electrohydraulic fragmentation of ureteral calculus"
51080,Drainage of perivesical or prevesical space abscess
51100,Aspiration of bladder; by needle
51101,Aspiration of bladder; by trocar or intracatheter
51102,Aspiration of bladder; with insertion of suprapubic catheter
51500,"Excision of urachal cyst or sinus, with or without umbilical hernia repair"
51520,Cystotomy; for simple excision of vesical neck (separate procedure)
51525,"Cystotomy; for excision of bladder diverticulum, single or multiple (separate procedure)"
51530,Cystotomy; for excision of bladder tumor
51535,"Cystotomy for excision, incision, or repair of ureterocele"
51536,"Cystotomy For Excision, Incision, Or Repair Of Ureterocele"
51550,"Cystectomy, partial; simple"
51555,"Cystectomy, partial; complicated (eg, postradiation, previous surgery, difficult location)"
51565,"Cystectomy, partial, with reimplantation of ureter(s) into bladder (ureteroneocystostomy)"
51570,"Cystectomy, complete; (separate procedure)"
51575,"Cystectomy, complete; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric, and obturator nodes"
51580,"Cystectomy, complete, with ureterosigmoidostomy or ureterocutaneous transplantations;"
51585,"Cystectomy, complete, with ureterosigmoidostomy or ureterocutaneous transplantations; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric, and obturator nodes"
51590,"Cystectomy, complete, with ureteroileal conduit or sigmoid bladder, including intestine anastomosis;"
51595,"Cystectomy, complete, with ureteroileal conduit or sigmoid bladder, including intestine anastomosis; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric, and obturator nodes"
51596,"Cystectomy, complete, with continent diversion, any open technique, using any segment of small and/or large intestine to construct neobladder"
51597,"Pelvic exenteration, complete, for vesical, prostatic or urethral malignancy, with removal of bladder and ureteral transplantations, with or without hysterectomy and/or abdominoperineal resection of rectum and colon and colostomy, or any combination thereof"
51600,Injection procedure for cystography or voiding urethrocystography
51605,Injection procedure and placement of chain for contrast and/or chain urethrocystography
51610,Injection procedure for retrograde urethrocystography
51700,"Bladder irrigation, simple, lavage and/or instillation"
51701,"Insertion of non-indwelling bladder catheter (eg, straight catheterization for residual urine)"
51702,"Insertion of temporary indwelling bladder catheter; simple (eg, Foley)"
51703,"Insertion of temporary indwelling bladder catheter; complicated (eg, altered anatomy, fractured catheter/balloon)"
51705,Change of cystostomy tube; simple
51710,Change of cystostomy tube; complicated
51715,Endoscopic injection of implant material into the submucosal tissues of the urethra and/or bladder neck
51720,Bladder instillation of anticarcinogenic agent (including retention time)
51725,"Simple cystometrogram (CMG) (eg, spinal manometer)"
51726,"Complex cystometrogram (ie, calibrated electronic equipment);"
51727,"Complex cystometrogram (ie, calibrated electronic equipment); with urethral pressure profile studies (ie, urethral closure pressure profile), any technique"
51728,"Complex cystometrogram (ie, calibrated electronic equipment); with voiding pressure studies (ie, bladder voiding pressure), any technique"
51729,"Complex cystometrogram (ie, calibrated electronic equipment); with voiding pressure studies (ie, bladder voiding pressure) and urethral pressure profile studies (ie, urethral closure pressure profile), any technique"
51736,"Simple uroflowmetry (UFR) (eg, stop-watch flow rate, mechanical uroflowmeter)"
51739,SOUND RECORD EXTERNAL STREAM-LYONS/KEITZER TYPE
51741,"Complex uroflowmetry (eg, calibrated electronic equipment)"
51772,"Urethral pressure profile studies (UPP) (urethral closure pressure profile), any technique"
51784,"Electromyography studies (EMG) of anal or urethral sphincter, other than needle, any technique"
51785,"Needle electromyography studies (EMG) of anal or urethral sphincter, any technique"
51792,"Stimulus evoked response (eg, measurement of bulbocavernosus reflex latency time)"
51795,"Voiding pressure studies (VP); bladder voiding pressure, any technique"
51797,"Voiding pressure studies, intra-abdominal (ie, rectal, gastric, intraperitoneal) (List separately in addition to code for primary procedure)"
51798,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging"
51800,"Cystoplasty or cystourethroplasty, plastic operation on bladder and/or vesical neck (anterior Y-plasty, vesical fundus resection), any procedure, with or without wedge resection of posterior vesical neck"
51820,Cystourethroplasty with unilateral or bilateral ureteroneocystostomy
51840,"Anterior vesicourethropexy, or urethropexy (eg, Marshall-Marchetti-Krantz, Burch); simple"
51841,"Anterior vesicourethropexy, or urethropexy (eg, Marshall-Marchetti-Krantz, Burch); complicated (eg, secondary repair)"
51845,"Abdomino-vaginal vesical neck suspension, with or without endoscopic control (eg, Stamey, Raz, modified Pereyra)"
51860,"Cystorrhaphy, suture of bladder wound, injury or rupture; simple"
51865,"Cystorrhaphy, suture of bladder wound, injury or rupture; complicated"
51880,Closure of cystostomy (separate procedure)
51900,"Closure of vesicovaginal fistula, abdominal approach"
51920,Closure of vesicouterine fistula;
51925,Closure of vesicouterine fistula; with hysterectomy
51940,"Closure, exstrophy of bladder"
51960,"Enterocystoplasty, including intestinal anastomosis"
51980,Cutaneous vesicostomy
51990,"Laparoscopy, surgical; urethral suspension for stress incontinence"
51992,"Laparoscopy, surgical; sling operation for stress incontinence (eg, fascia or synthetic)"
51999,"Unlisted laparoscopy procedure, bladder"
52000,Cystourethroscopy (separate procedure)
52001,Cystourethroscopy with irrigation and evacuation of multiple obstructing clots
52005,"Cystourethroscopy, with ureteral catheterization, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;"
52007,"Cystourethroscopy, with ureteral catheterization, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with brush biopsy of ureter and/or renal pelvis"
52010,"Cystourethroscopy, with ejaculatory duct catheterization, with or without irrigation, instillation, or duct radiography, exclusive of radiologic service"
52204,"Cystourethroscopy, with biopsy(s)"
52214,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) of trigone, bladder neck, prostatic fossa, urethra, or periurethral glands"
52224,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) or treatment of MINOR (less than 0.5 cm) lesion(s) with or without biopsy"
52234,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; SMALL bladder tumor(s) (0.5 up to 2.0 cm)"
52235,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; MEDIUM bladder tumor(s) (2.0 to 5.0 cm)"
52240,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; LARGE bladder tumor(s)"
52250,"Cystourethroscopy with insertion of radioactive substance, with or without biopsy or fulguration"
52260,"Cystourethroscopy, with dilation of bladder for interstitial cystitis; general or conduction (spinal) anesthesia"
52265,"Cystourethroscopy, with dilation of bladder for interstitial cystitis; local anesthesia"
52270,"Cystourethroscopy, with internal urethrotomy; female"
52275,"Cystourethroscopy, with internal urethrotomy; male"
52276,Cystourethroscopy with direct vision internal urethrotomy
52277,"Cystourethroscopy, with resection of external sphincter (sphincterotomy)"
52281,"Cystourethroscopy, with calibration and/or dilation of urethral stricture or stenosis, with or without meatotomy, with or without injection procedure for cystography, male or female"
52282,"Cystourethroscopy, with insertion of permanent urethral stent"
52283,"Cystourethroscopy, with steroid injection into stricture"
52285,"Cystourethroscopy for treatment of the female urethral syndrome with any or all of the following: urethral meatotomy, urethral dilation, internal urethrotomy, lysis of urethrovaginal septal fibrosis, lateral incisions of the bladder neck, and fulguration of polyp(s) of urethra, bladder neck, and/or trigone"
52287,"Cystourethroscopy, with injection(s) for chemodenervation of the bladder"
52290,"Cystourethroscopy; with ureteral meatotomy, unilateral or bilateral"
52300,"Cystourethroscopy; with resection or fulguration of orthotopic ureterocele(s), unilateral or bilateral"
52301,"Cystourethroscopy; with resection or fulguration of ectopic ureterocele(s), unilateral or bilateral"
52305,"Cystourethroscopy; with incision or resection of orifice of bladder diverticulum, single or multiple"
52310,"Cystourethroscopy, with removal of foreign body, calculus, or ureteral stent from urethra or bladder (separate procedure); simple"
52315,"Cystourethroscopy, with removal of foreign body, calculus, or ureteral stent from urethra or bladder (separate procedure); complicated"
52317,Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments; simple or small (less than 2.5 cm)
52318,Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments; complicated or large (over 2.5 cm)
52320,Cystourethroscopy (including ureteral catheterization); with removal of ureteral calculus
52325,"Cystourethroscopy (including ureteral catheterization); with fragmentation of ureteral calculus (eg, ultrasonic or electro-hydraulic technique)"
52327,Cystourethroscopy (including ureteral catheterization); with subureteric injection of implant material
52330,"Cystourethroscopy (including ureteral catheterization); with manipulation, without removal of ureteral calculus"
52332,"Cystourethroscopy, with insertion of indwelling ureteral stent (eg, Gibbons or double-J type)"
52334,"Cystourethroscopy with insertion of ureteral guide wire through kidney to establish a percutaneous nephrostomy, retrograde"
52335,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy (includes dilation of the ureter and/or pyeloureteral junction by any method);"
52336,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy (includes dilation of the ureter and/or pyeloureteral junction by any method); with removal or manipulation of calculus (ureteral catheterization is included)"
52337,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy (includes dilation of the ureter and/or pyeloureteral junction by any method); with lithotripsy (ureteral catheterization is included)"
52338,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy (includes dilation of the ureter and/or pyeloureteral junction by any method); with biopsy and/or fulguration of lesion"
52339,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy (includes dilation of the ureter and/or pyeloureteral junction by any method); with resection of tumor"
52340,"Cystourethroscopy with incision, fulguration, or resection of congenital posterior urethral valves, or congenital obstructive hypertrophic mucosal folds"
52341,"Cystourethroscopy; with treatment of ureteral stricture (eg, balloon dilation, laser, electrocautery, and incision)"
52342,"Cystourethroscopy; with treatment of ureteropelvic junction stricture (eg, balloon dilation, laser, electrocautery, and incision)"
52343,"Cystourethroscopy; with treatment of intra-renal stricture (eg, balloon dilation, laser, electrocautery, and incision)"
52344,"Cystourethroscopy with ureteroscopy; with treatment of ureteral stricture (eg, balloon dilation, laser, electrocautery, and incision)"
52345,"Cystourethroscopy with ureteroscopy; with treatment of ureteropelvic junction stricture (eg, balloon dilation, laser, electrocautery, and incision)"
52346,"Cystourethroscopy with ureteroscopy; with treatment of intra-renal stricture (eg, balloon dilation, laser, electrocautery, and incision)"
52347,Cystourethroscopy with transurethral resection or incision of ejaculatory ducts
52351,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; diagnostic"
52352,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with removal or manipulation of calculus (ureteral catheterization is included)"
52353,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy (ureteral catheterization is included)"
52354,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with biopsy and/or fulguration of ureteral or renal pelvic lesion"
52355,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with resection of ureteral or renal pelvic tumor"
52356,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy including insertion of indwelling ureteral stent (eg, Gibbons or double-J type)"
52400,"Cystourethroscopy with incision, fulguration, or resection of congenital posterior urethral valves, or congenital obstructive hypertrophic mucosal folds"
52402,Cystourethroscopy with transurethral resection or incision of ejaculatory ducts
52441,"Cystourethroscopy, with insertion of permanent adjustable transprostatic implant; single implant"
52442,"Cystourethroscopy, with insertion of permanent adjustable transprostatic implant; each additional permanent adjustable transprostatic implant (List separately in addition to code for primary procedure)"
52450,Transurethral incision of prostate
52500,Transurethral resection of bladder neck (separate procedure)
52510,Transurethral balloon dilation of the prostatic urethra
52601,"Transurethral electrosurgical resection of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, and internal urethrotomy are included)"
52606,Transurethral fulguration for postoperative bleeding occurring after the usual follow-up time
52612,Transurethral resection of prostate; first stage of two-stage resection (partial resection)
52614,Transurethral resection of prostate; second stage of two-stage resection (resection completed)
52620,Transurethral resection; of residual obstructive tissue after 90 days postoperative
52630,"Transurethral resection; residual or regrowth of obstructive prostate tissue including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, and internal urethrotomy are included)"
52640,Transurethral resection; of postoperative bladder neck contracture
